year-week,ID_material,Units
2020-07,120012154,765.0
2020-08,120012154,2205.0
2020-09,120012154,1935.0
2020-10,120012154,2745.0
2020-11,120012154,2220.0
2020-12,120012154,1695.0
2020-13,120012154,1170.0
2020-14,120012154,990.0
2020-15,120012154,810.0
2020-16,120012154,630.0
2020-17,120012154,2160.0
2020-18,120012154,0.0
2020-19,120012154,450.0
2020-20,120012154,585.0
2020-21,120012154,720.0
2020-22,120012154,360.0
2020-23,120012154,495.0
2020-24,120012154,90.0
2020-25,120012154,180.0
2020-26,120012154,225.0
2020-27,120012154,540.0
2020-28,120012154,315.0
2020-29,120012154,720.0
2020-30,120012154,450.0
2020-31,120012154,405.0
2020-32,120012154,945.0
2020-33,120012154,2565.0
2020-34,120012154,1845.0
2020-35,120012154,990.0
2020-36,120012154,630.0
2020-37,120012154,540.0
2020-38,120012154,495.0
2020-39,120012154,450.0
2020-40,120012154,360.0
2020-41,120012154,1341.0
2020-42,120012154,225.0
2020-43,120012154,360.0
2020-44,120012154,495.0
2020-45,120012154,630.0
2020-46,120012154,945.0
2020-47,120012154,990.0
2020-48,120012154,360.0
2020-49,120012154,450.0
2020-50,120012154,225.0
2020-51,120012154,135.0
2020-52,120012154,45.0
2020-53,120012154,855.0
2021-01,120012154,495.0
2021-02,120012154,450.0
2021-03,120012154,405.0
2021-04,120012154,405.0
2021-05,120012154,405.0
2021-06,120012154,540.0
2021-07,120012154,675.0
2021-08,120012154,855.0
2021-09,120012154,360.0
2021-10,120012154,360.0
2021-11,120012154,765.0
2021-12,120012154,450.0
2021-13,120012154,1035.0
2021-14,120012154,360.0
2021-15,120012154,270.0
2021-16,120012154,855.0
2021-17,120012154,2205.0
2021-18,120012154,1125.0
2021-19,120012154,1080.0
2021-20,120012154,585.0
2021-21,120012154,360.0
2021-22,120012154,630.0
2021-23,120012154,540.0
2021-24,120012154,630.0
2021-25,120012154,765.0
2021-26,120012154,990.0
2021-27,120012154,675.0
2021-28,120012154,1080.0
2021-29,120012154,1125.0
2021-30,120012154,540.0
2021-31,120012154,810.0
2021-32,120012154,1890.0
2021-33,120012154,1215.0
2021-34,120012154,2295.0
2021-35,120012154,1845.0
2021-36,120012154,1170.0
2021-37,120012154,945.0
2021-38,120012154,1080.0
2021-39,120012154,720.0
2021-40,120012154,522.0
2021-41,120012154,450.0
2021-42,120012154,585.0
2021-43,120012154,945.0
2021-44,120012154,2610.0
2021-45,120012154,2160.0
2021-46,120012154,1350.0
2021-47,120012154,90.0
2021-48,120012154,765.0
2021-49,120012154,270.0
2021-50,120012154,765.0
2021-51,120012154,405.0
2021-52,120012154,495.0
2022-01,120012154,915.0
2022-02,120012154,810.0
2022-03,120012154,540.0
2022-04,120012154,765.0
2022-05,120012154,675.0
2022-06,120012154,810.0
2022-07,120012154,810.0
2022-08,120012154,450.0
2022-09,120012154,630.0
2022-10,120012154,405.0
2022-11,120012154,1305.0
2022-12,120012154,810.0
2022-13,120012154,675.0
2022-14,120012154,630.0
2022-15,120012154,675.0
2022-16,120012154,1305.0
2022-17,120012154,2952.0
2022-18,120012154,630.0
2022-19,120012154,685.0
2022-20,120012154,495.0
2022-21,120012154,2160.0
2022-22,120012154,1575.0
2022-23,120012154,2502.0
2022-24,120012154,2070.0
2022-25,120012154,1890.0
2022-26,120012154,1710.0
2022-27,120012154,1575.0
2022-28,120012154,1656.0
2022-29,120012154,1737.0
2022-30,120012154,1530.0
2022-31,120012154,900.0
2022-32,120012154,0.0
2022-33,120012154,0.0
2022-34,120012154,733.0
2022-35,120012154,0.0
2022-36,120012154,351.0
2022-37,120012154,28.0
2022-38,120012154,0.0
2022-39,120012154,0.0
