year-week,ID_material,Units
2021-30,120012606,1050
2021-31,120012606,70
2021-32,120012606,630
2021-33,120012606,1050
2021-34,120012606,280
2021-35,120012606,1470
2021-36,120012606,2030
2021-37,120012606,2590
2021-38,120012606,280
2021-39,120012606,3010
2021-40,120012606,1610
2021-41,120012606,210
2021-42,120012606,350
2021-43,120012606,3570
2021-44,120012606,140
2021-45,120012606,1260
2021-46,120012606,1610
2021-47,120012606,490
2021-48,120012606,280
2021-49,120012606,420
2021-50,120012606,2310
2021-51,120012606,140
2021-52,120012606,2380
2022-01,120012606,350
2022-02,120012606,140
2022-03,120012606,630
2022-04,120012606,350
2022-05,120012606,490
2022-06,120012606,140
2022-07,120012606,2380
2022-08,120012606,140
2022-09,120012606,280
2022-10,120012606,140
2022-11,120012606,280
2022-12,120012606,280
2022-13,120012606,280
2022-14,120012606,2660
2022-15,120012606,210
2022-16,120012606,2450
2022-17,120012606,630
2022-18,120012606,350
2022-19,120012606,490
2022-20,120012606,770
2022-21,120012606,2660
2022-22,120012606,70
2022-23,120012606,2940
2022-24,120012606,3080
2022-25,120012606,420
2022-26,120012606,840
2022-27,120012606,420
2022-28,120012606,210
2022-29,120012606,70
2022-30,120012606,280
2022-31,120012606,490
2022-32,120012606,70
2022-33,120012606,2310
2022-34,120012606,2520
2022-35,120012606,210
2022-36,120012606,420
2022-37,120012606,2590
2022-38,120012606,280
2022-39,120012606,1365
2019-40,120011556,144
2019-41,120011556,90
2019-42,120011556,204
2019-43,120011556,126
2019-44,120011556,252
2019-45,120011556,282
2019-46,120011556,378
2019-47,120011556,300
2019-48,120011556,366
2019-49,120011556,12
2019-50,120011556,222
2019-51,120011556,204
2019-52,120011556,126
2020-01,120011556,330
2020-02,120011556,198
2020-03,120011556,120
2020-04,120011556,402
2020-05,120011556,66
2020-06,120011556,282
2020-07,120011556,96
2020-08,120011556,288
2020-09,120011556,18
2020-10,120011556,159
2020-11,120011556,108
2020-12,120011556,192
2020-13,120011556,570
2020-14,120011556,684
2020-15,120011556,132
2020-16,120011556,0
2020-17,120011556,162
2020-18,120011556,126
2020-19,120011556,216
2020-20,120011556,234
2020-21,120011556,300
2020-22,120011556,180
2020-23,120011556,144
2020-24,120011556,360
2020-25,120011556,162
2020-26,120011556,216
2020-27,120011556,255
2020-28,120011556,216
2020-29,120011556,510
2020-30,120011556,168
2020-31,120011556,36
2020-32,120011556,270
2020-33,120011556,276
2020-34,120011556,24
2020-35,120011556,324
2020-36,120011556,237
2020-37,120011556,90
2020-38,120011556,222
2020-39,120011556,219
2020-40,120011556,228
2020-41,120011556,126
2020-42,120011556,114
2020-43,120011556,138
2020-44,120011556,192
2020-45,120011556,360
2020-46,120011556,156
2020-47,120011556,84
2020-48,120011556,60
2020-49,120011556,288
2020-50,120011556,138
2020-51,120011556,216
2020-52,120011556,198
2020-53,120011556,66
2021-01,120011556,210
2021-02,120011556,258
2021-03,120011556,174
2021-04,120011556,258
2021-05,120011556,60
2021-06,120011556,246
2021-07,120011556,150
2021-08,120011556,42
2021-09,120011556,336
2021-10,120011556,78
2021-11,120011556,264
2021-12,120011556,72
2021-13,120011556,120
2021-14,120011556,222
2021-15,120011556,222
2021-16,120011556,252
2021-17,120011556,234
2021-18,120011556,48
2021-19,120011556,150
2021-20,120011556,120
2021-21,120011556,138
2021-22,120011556,90
2021-23,120011556,354
2021-24,120011556,348
2021-25,120011556,114
2021-26,120011556,198
2021-27,120011556,84
2021-28,120011556,60
2021-29,120011556,408
2021-30,120011556,876
2021-31,120011556,42
2021-32,120011556,204
2021-33,120011556,264
2021-34,120011556,48
2021-35,120011556,84
2021-36,120011556,126
2021-37,120011556,318
2021-38,120011556,720
2021-39,120011556,120
2021-40,120011556,102
2021-41,120011556,90
2021-42,120011556,60
2021-43,120011556,90
2021-44,120011556,216
2021-45,120011556,54
2021-46,120011556,156
2021-47,120011556,408
2021-48,120011556,394
2021-49,120011556,218
2021-50,120011556,108
2021-51,120011556,78
2021-52,120011556,162
2022-01,120011556,110
2022-02,120011556,174
2022-03,120011556,336
2022-04,120011556,84
2022-05,120011556,162
2022-06,120011556,156
2022-07,120011556,174
2022-08,120011556,126
2022-09,120011556,246
2022-10,120011556,156
2022-11,120011556,180
2022-12,120011556,218
2022-13,120011556,256
2022-14,120011556,114
2022-15,120011556,72
2022-16,120011556,474
2022-17,120011556,180
2022-18,120011556,336
2022-19,120011556,753
2022-20,120011556,84
2022-21,120011556,42
2022-22,120011556,270
2022-23,120011556,12
2022-24,120011556,144
2022-25,120011556,42
2022-26,120011556,228
2022-27,120011556,204
2022-28,120011556,228
2022-29,120011556,168
2022-30,120011556,1230
2022-31,120011556,234
2022-32,120011556,90
2022-33,120011556,486
2022-34,120011556,504
2022-35,120011556,216
2022-36,120011556,108
2022-37,120011556,96
2022-38,120011556,60
2022-39,120011556,150
2018-31,120010566,5256
2018-32,120010566,0
2018-33,120010566,8316
2018-34,120010566,672
2018-35,120010566,1680
2018-36,120010566,924
2018-37,120010566,4200
2018-38,120010566,3108
2018-39,120010566,924
2018-40,120010566,1764
2018-41,120010566,1386
2018-42,120010566,2520
2018-43,120010566,1008
2018-44,120010566,1176
2018-45,120010566,2352
2018-46,120010566,5880
2018-47,120010566,1428
2018-48,120010566,6552
2018-49,120010566,5712
2018-50,120010566,6384
2018-51,120010566,2688
2018-52,120010566,2604
2019-01,120010566,4368
2019-02,120010566,2646
2019-03,120010566,3570
2019-04,120010566,3780
2019-05,120010566,1764
2019-06,120010566,2100
2019-07,120010566,8064
2019-08,120010566,5670
2019-09,120010566,3276
2019-10,120010566,2352
2019-11,120010566,1176
2019-12,120010566,1344
2019-13,120010566,1428
2019-14,120010566,924
2019-15,120010566,3108
2019-16,120010566,2352
2019-17,120010566,1260
2019-18,120010566,1764
2019-19,120010566,6972
2019-20,120010566,5376
2019-21,120010566,5118
2019-22,120010566,4788
2019-23,120010566,5964
2019-24,120010566,7140
2019-25,120010566,5292
2019-26,120010566,4452
2019-27,120010566,1764
2019-28,120010566,3696
2019-29,120010566,3108
2019-30,120010566,1848
2019-31,120010566,5124
2019-32,120010566,1092
2019-33,120010566,3360
2019-34,120010566,2688
2019-35,120010566,2688
2019-36,120010566,3696
2019-37,120010566,1680
2019-38,120010566,2856
2019-39,120010566,2100
2019-40,120010566,1344
2019-41,120010566,3528
2019-42,120010566,4074
2019-43,120010566,3864
2019-44,120010566,756
2019-45,120010566,2478
2019-46,120010566,3108
2019-47,120010566,3948
2019-48,120010566,3276
2019-49,120010566,2016
2019-50,120010566,3738
2019-51,120010566,4704
2019-52,120010566,2520
2020-01,120010566,3444
2020-02,120010566,2016
2020-03,120010566,4620
2020-04,120010566,6216
2020-05,120010566,1932
2020-06,120010566,3276
2020-07,120010566,3192
2020-08,120010566,3360
2020-09,120010566,2100
2020-10,120010566,3108
2020-11,120010566,6216
2020-12,120010566,5404
2020-13,120010566,4592
2020-14,120010566,3780
2020-15,120010566,4116
2020-16,120010566,3444
2020-17,120010566,1176
2020-18,120010566,1092
2020-19,120010566,1092
2020-20,120010566,2772
2020-21,120010566,2688
2020-22,120010566,3486
2020-23,120010566,4284
2020-24,120010566,4508
2020-25,120010566,4732
2020-26,120010566,4956
2020-27,120010566,2604
2020-28,120010566,1596
2020-29,120010566,1512
2020-30,120010566,2436
2020-31,120010566,2016
2020-32,120010566,1512
2020-33,120010566,2352
2020-34,120010566,3276
2020-35,120010566,2520
2020-36,120010566,4032
2020-37,120010566,4956
2020-38,120010566,3108
2020-39,120010566,2016
2020-40,120010566,3864
2020-41,120010566,5292
2020-42,120010566,3192
2020-43,120010566,3276
2020-44,120010566,1764
2020-45,120010566,3192
2020-46,120010566,2856
2020-47,120010566,3360
2020-48,120010566,1428
2020-49,120010566,2184
2020-50,120010566,1680
2020-51,120010566,2856
2020-52,120010566,2184
2020-53,120010566,2688
2021-01,120010566,3108
2021-02,120010566,2940
2021-03,120010566,5460
2021-04,120010566,3808
2021-05,120010566,2940
2021-06,120010566,3192
2021-07,120010566,2604
2021-08,120010566,2604
2021-09,120010566,2184
2021-10,120010566,2688
2021-11,120010566,2268
2021-12,120010566,2184
2021-13,120010566,2184
2021-14,120010566,2268
2021-15,120010566,3204
2021-16,120010566,3612
2021-17,120010566,2940
2021-18,120010566,3024
2021-19,120010566,2856
2021-20,120010566,3696
2021-21,120010566,3276
2021-22,120010566,2436
2021-23,120010566,3360
2021-24,120010566,3696
2021-25,120010566,4788
2021-26,120010566,1596
2021-27,120010566,1512
2021-28,120010566,2184
2021-29,120010566,3192
2021-30,120010566,2184
2021-31,120010566,2926
2021-32,120010566,5208
2021-33,120010566,3318
2021-34,120010566,1848
2021-35,120010566,2016
2021-36,120010566,1428
2021-37,120010566,2268
2021-38,120010566,2226
2021-39,120010566,2562
2021-40,120010566,3993
2021-41,120010566,2310
2021-42,120010566,4080
2021-43,120010566,5346
2021-44,120010566,5820
2021-45,120010566,4896
2021-46,120010566,6090
2021-47,120010566,4854
2021-48,120010566,3084
2021-49,120010566,2226
2021-50,120010566,4512
2021-51,120010566,2436
2021-52,120010566,2664
2022-01,120010566,1302
2022-02,120010566,1512
2022-03,120010566,2100
2022-04,120010566,4368
2022-05,120010566,6636
2022-06,120010566,2184
2022-07,120010566,420
2022-08,120010566,4452
2022-09,120010566,672
2022-10,120010566,2772
2022-11,120010566,4704
2022-12,120010566,4368
2022-13,120010566,2730
2022-14,120010566,1092
2022-15,120010566,1680
2022-16,120010566,2940
2022-17,120010566,5544
2022-18,120010566,1680
2022-19,120010566,1764
2022-20,120010566,1680
2022-21,120010566,2100
2022-22,120010566,1512
2022-23,120010566,2940
2022-24,120010566,3528
2022-25,120010566,4368
2022-26,120010566,5964
2022-27,120010566,5292
2022-28,120010566,5964
2022-29,120010566,6636
2022-30,120010566,7308
2022-31,120010566,7980
2022-32,120010566,1344
2022-33,120010566,0
2022-34,120010566,0
2022-35,120010566,0
2022-36,120010566,0
2022-37,120010566,0
2022-38,120010566,0
2022-39,120010566,0
2018-18,120010342,480
2018-19,120010342,900
2018-20,120010342,240
2018-21,120010342,570
2018-22,120010342,900
2018-23,120010342,1020
2018-24,120010342,420
2018-25,120010342,1140
2018-26,120010342,0
2018-27,120010342,240
2018-28,120010342,240
2018-29,120010342,240
2018-30,120010342,900
2018-31,120010342,360
2018-32,120010342,960
2018-33,120010342,0
2018-34,120010342,840
2018-35,120010342,540
2018-36,120010342,780
2018-37,120010342,660
2018-38,120010342,1080
2018-39,120010342,300
2018-40,120010342,480
2018-41,120010342,840
2018-42,120010342,660
2018-43,120010342,720
2018-44,120010342,1080
2018-45,120010342,600
2018-46,120010342,540
2018-47,120010342,1440
2018-48,120010342,1380
2018-49,120010342,840
2018-50,120010342,540
2018-51,120010342,540
2018-52,120010342,1380
2019-01,120010342,780
2019-02,120010342,300
2019-03,120010342,1800
2019-04,120010342,480
2019-05,120010342,360
2019-06,120010342,960
2019-07,120010342,780
2019-08,120010342,1260
2019-09,120010342,660
2019-10,120010342,360
2019-11,120010342,780
2019-12,120010342,180
2019-13,120010342,720
2019-14,120010342,840
2019-15,120010342,540
2019-16,120010342,1080
2019-17,120010342,360
2019-18,120010342,900
2019-19,120010342,1500
2019-20,120010342,660
2019-21,120010342,480
2019-22,120010342,600
2019-23,120010342,300
2019-24,120010342,2100
2019-25,120010342,1920
2019-26,120010342,1020
2019-27,120010342,300
2019-28,120010342,1080
2019-29,120010342,1440
2019-30,120010342,1500
2019-31,120010342,1140
2019-32,120010342,120
2019-33,120010342,1020
2019-34,120010342,240
2019-35,120010342,840
2019-36,120010342,1020
2019-37,120010342,420
2019-38,120010342,840
2019-39,120010342,1020
2019-40,120010342,420
2019-41,120010342,1080
2019-42,120010342,420
2019-43,120010342,1140
2019-44,120010342,540
2019-45,120010342,240
2019-46,120010342,900
2019-47,120010342,1140
2019-48,120010342,300
2019-49,120010342,900
2019-50,120010342,960
2019-51,120010342,360
2019-52,120010342,900
2020-01,120010342,780
2020-02,120010342,960
2020-03,120010342,960
2020-04,120010342,1440
2020-05,120010342,960
2020-06,120010342,1500
2020-07,120010342,960
2020-08,120010342,540
2020-09,120010342,960
2020-10,120010342,780
2020-11,120010342,300
2020-12,120010342,600
2020-13,120010342,780
2020-14,120010342,1440
2020-15,120010342,840
2020-16,120010342,720
2020-17,120010342,1380
2020-18,120010342,0
2020-19,120010342,840
2020-20,120010342,1020
2020-21,120010342,600
2020-22,120010342,1140
2020-23,120010342,420
2020-24,120010342,780
2020-25,120010342,460
2020-26,120010342,420
2020-27,120010342,1200
2020-28,120010342,960
2020-29,120010342,660
2020-30,120010342,1380
2020-31,120010342,1380
2020-32,120010342,360
2020-33,120010342,540
2020-34,120010342,720
2020-35,120010342,900
2020-36,120010342,2580
2020-37,120010342,360
2020-38,120010342,720
2020-39,120010342,780
2020-40,120010342,720
2020-41,120010342,1680
2020-42,120010342,1200
2020-43,120010342,1260
2020-44,120010342,180
2020-45,120010342,1020
2020-46,120010342,420
2020-47,120010342,420
2020-48,120010342,540
2020-49,120010342,720
2020-50,120010342,960
2020-51,120010342,360
2020-52,120010342,420
2020-53,120010342,1500
2021-01,120010342,780
2021-02,120010342,1380
2021-03,120010342,480
2021-04,120010342,960
2021-05,120010342,780
2021-06,120010342,1020
2021-07,120010342,600
2021-08,120010342,720
2021-09,120010342,720
2021-10,120010342,600
2021-11,120010342,900
2021-12,120010342,660
2021-13,120010342,360
2021-14,120010342,840
2021-15,120010342,1140
2021-16,120010342,780
2021-17,120010342,660
2021-18,120010342,780
2021-19,120010342,840
2021-20,120010342,780
2021-21,120010342,600
2021-22,120010342,1020
2021-23,120010342,1020
2021-24,120010342,300
2021-25,120010342,840
2021-26,120010342,840
2021-27,120010342,960
2021-28,120010342,600
2021-29,120010342,540
2021-30,120010342,1080
2021-31,120010342,1260
2021-32,120010342,900
2021-33,120010342,780
2021-34,120010342,540
2021-35,120010342,780
2021-36,120010342,1020
2021-37,120010342,600
2021-38,120010342,550
2021-39,120010342,500
2021-40,120010342,450
2021-41,120010342,400
2021-42,120010342,350
2021-43,120010342,0
2021-44,120010342,0
2021-45,120010342,0
2021-46,120010342,0
2021-47,120010342,0
2021-48,120010342,0
2021-49,120010342,0
2021-50,120010342,0
2021-51,120010342,0
2021-52,120010342,0
2022-01,120010342,0
2022-02,120010342,300
2022-03,120010342,120
2022-04,120010342,480
2022-05,120010342,120
2022-06,120010342,180
2022-07,120010342,480
2022-08,120010342,780
2022-09,120010342,900
2022-10,120010342,1080
