year-week,ID_material,Units
2017-33,120014488,180
2017-34,120014488,4860
2017-35,120014488,2340
2017-36,120014488,1620
2017-37,120014488,1620
2017-38,120014488,1620
2017-39,120014488,0
2017-40,120014488,1440
2017-41,120014488,0
2017-42,120014488,360
2017-43,120014488,1260
2017-44,120014488,0
2017-45,120014488,2880
2017-46,120014488,2160
2017-47,120014488,1440
2017-48,120014488,3870
2017-49,120014488,2880
2017-50,120014488,5040
2017-51,120014488,1620
2017-52,120014488,2520
2018-01,120014488,1440
2018-02,120014488,1260
2018-03,120014488,180
2018-04,120014488,1440
2018-05,120014488,360
2018-06,120014488,2700
2018-07,120014488,4320
2018-08,120014488,5940
2018-09,120014488,2340
2018-10,120014488,1980
2018-11,120014488,0
2018-12,120014488,0
2018-13,120014488,0
2018-14,120014488,3240
2018-15,120014488,720
2018-16,120014488,2520
2018-17,120014488,2340
2018-18,120014488,1260
2018-19,120014488,0
2018-20,120014488,2700
2018-21,120014488,0
2018-22,120014488,0
2018-23,120014488,1800
2018-24,120014488,360
2018-25,120014488,1140
2018-26,120014488,1920
2018-27,120014488,2700
2018-28,120014488,4140
2018-29,120014488,2880
2018-30,120014488,1620
2018-31,120014488,2160
2018-32,120014488,540
2018-33,120014488,1800
2018-34,120014488,0
2018-35,120014488,1260
2018-36,120014488,1260
2018-37,120014488,360
2018-38,120014488,1980
2018-39,120014488,45
2018-40,120014488,0
2018-41,120014488,2880
2018-42,120014488,2160
2018-43,120014488,1080
2018-44,120014488,3960
2018-45,120014488,3585
2018-46,120014488,3210
2018-47,120014488,2835
2018-48,120014488,4500
2018-49,120014488,6480
2018-50,120014488,4860
2018-51,120014488,2520
2018-52,120014488,1980
2019-01,120014488,1620
2019-02,120014488,540
2019-03,120014488,180
2019-04,120014488,1260
2019-05,120014488,3060
2019-06,120014488,6300
2019-07,120014488,4320
2019-08,120014488,4680
2019-09,120014488,4500
2019-10,120014488,4320
2019-11,120014488,5940
2019-12,120014488,6480
2019-13,120014488,5040
2019-14,120014488,2880
2019-15,120014488,6300
2019-16,120014488,2880
2019-17,120014488,4500
2019-18,120014488,1080
2019-19,120014488,1080
2019-20,120014488,1620
2019-21,120014488,4860
2019-22,120014488,3780
2019-23,120014488,3240
2019-24,120014488,3240
2019-25,120014488,4050
2019-26,120014488,4860
2019-27,120014488,3600
2019-28,120014488,3420
2019-29,120014488,1620
2019-30,120014488,1823
2019-31,120014488,2025
2019-32,120014488,2700
2019-33,120014488,900
2019-34,120014488,180
2019-35,120014488,3960
2019-36,120014488,4860
2019-37,120014488,1260
2019-38,120014488,3240
2019-39,120014488,3330
2019-40,120014488,3420
2019-41,120014488,4140
2019-42,120014488,2160
2019-43,120014488,720
2019-44,120014488,1620
2019-45,120014488,3060
2019-46,120014488,2745
2019-47,120014488,2430
2019-48,120014488,2115
2019-49,120014488,1800
2019-50,120014488,0
2019-51,120014488,360
2019-52,120014488,0
2020-01,120014488,1080
2020-02,120014488,720
2020-03,120014488,1080
2020-04,120014488,960
2020-05,120014488,540
2020-06,120014488,3420
2020-07,120014488,0
2020-08,120014488,360
2020-09,120014488,0
2020-10,120014488,720
2020-11,120014488,180
2020-12,120014488,0
2020-13,120014488,1340
2020-14,120014488,0
2020-15,120014488,360
2020-16,120014488,2880
2020-17,120014488,5400
2020-18,120014488,3780
2020-19,120014488,3600
2020-20,120014488,6660
2020-21,120014488,1800
2020-22,120014488,1260
2020-23,120014488,720
2020-24,120014488,3420
2020-25,120014488,6120
2020-26,120014488,6480
2020-27,120014488,4320
2020-28,120014488,1485
2020-29,120014488,945
2020-30,120014488,405
2020-31,120014488,1800
2020-32,120014488,3060
2020-33,120014488,4320
2020-34,120014488,4140
2020-35,120014488,5220
2020-36,120014488,6300
2020-37,120014488,3960
2020-38,120014488,2160
2020-39,120014488,4545
2020-40,120014488,5040
2020-41,120014488,4500
2020-42,120014488,3060
2020-43,120014488,1620
2020-44,120014488,3420
2020-45,120014488,2700
2020-46,120014488,720
2020-47,120014488,720
2020-48,120014488,0
2020-49,120014488,1620
2020-50,120014488,0
2020-51,120014488,2700
2020-52,120014488,0
2020-53,120014488,0
2021-01,120014488,2340
2021-02,120014488,3780
2021-03,120014488,5220
2021-04,120014488,3780
2021-05,120014488,6120
