year-week,ID_material,Units
2019-32,120011782,1344.0
2019-33,120011782,2604.0
2019-34,120011782,2604.0
2019-35,120011782,2772.0
2019-36,120011782,2100.0
2019-37,120011782,2436.0
2019-38,120011782,2352.0
2019-39,120011782,2604.0
2019-40,120011782,2100.0
2019-41,120011782,2268.0
2019-42,120011782,2520.0
2019-43,120011782,2352.0
2019-44,120011782,2268.0
2019-45,120011782,2100.0
2019-46,120011782,2184.0
2019-47,120011782,2436.0
2019-48,120011782,2016.0
2019-49,120011782,2520.0
2019-50,120011782,1512.0
2019-51,120011782,2268.0
2019-52,120011782,2268.0
2020-01,120011782,2772.0
2020-02,120011782,1596.0
2020-03,120011782,2436.0
2020-04,120011782,2268.0
2020-05,120011782,2268.0
2020-06,120011782,2016.0
2020-07,120011782,2016.0
2020-08,120011782,2268.0
2020-09,120011782,2520.0
2020-10,120011782,2016.0
2020-11,120011782,2940.0
2020-12,120011782,2436.0
2020-13,120011782,1932.0
2020-14,120011782,1428.0
2020-15,120011782,1596.0
2020-16,120011782,1764.0
2020-17,120011782,1596.0
2020-18,120011782,1428.0
2020-19,120011782,2184.0
2020-20,120011782,1932.0
2020-21,120011782,1932.0
2020-22,120011782,2100.0
2020-23,120011782,1848.0
2020-24,120011782,2016.0
2020-25,120011782,1932.0
2020-26,120011782,2268.0
2020-27,120011782,1680.0
2020-28,120011782,3108.0
2020-29,120011782,2772.0
2020-30,120011782,3528.0
2020-31,120011782,2016.0
2020-32,120011782,2436.0
2020-33,120011782,2604.0
2020-34,120011782,2352.0
2020-35,120011782,2856.0
2020-36,120011782,2016.0
2020-37,120011782,2184.0
2020-38,120011782,2268.0
2020-39,120011782,2436.0
2020-40,120011782,2520.0
2020-41,120011782,2268.0
2020-42,120011782,1932.0
2020-43,120011782,2604.0
2020-44,120011782,2604.0
2020-45,120011782,2772.0
2020-46,120011782,2604.0
2020-47,120011782,2436.0
2020-48,120011782,2520.0
2020-49,120011782,2016.0
2020-50,120011782,2184.0
2020-51,120011782,2268.0
2020-52,120011782,2604.0
2020-53,120011782,1848.0
2021-01,120011782,2184.0
2021-02,120011782,2184.0
2021-03,120011782,3192.0
2021-04,120011782,2604.0
2021-05,120011782,2184.0
2021-06,120011782,2352.0
2021-07,120011782,2016.0
2021-08,120011782,2436.0
2021-09,120011782,1932.0
2021-10,120011782,2100.0
2021-11,120011782,2268.0
2021-12,120011782,2520.0
2021-13,120011782,1932.0
2021-14,120011782,3276.0
2021-15,120011782,2436.0
2021-16,120011782,2184.0
2021-17,120011782,2352.0
2021-18,120011782,2016.0
2021-19,120011782,2604.0
2021-20,120011782,2184.0
2021-21,120011782,3444.0
2021-22,120011782,2688.0
2021-23,120011782,2268.0
2021-24,120011782,3108.0
2021-25,120011782,3024.0
2021-26,120011782,2772.0
2021-27,120011782,2100.0
2021-28,120011782,2520.0
2021-29,120011782,2436.0
2021-30,120011782,3024.0
2021-31,120011782,2604.0
2021-32,120011782,3108.0
2021-33,120011782,3108.0
2021-34,120011782,2940.0
2021-35,120011782,2352.0
2021-36,120011782,2100.0
2021-37,120011782,2604.0
2021-38,120011782,3108.0
2021-39,120011782,3024.0
2021-40,120011782,2520.0
2021-41,120011782,2184.0
2021-42,120011782,2604.0
2021-43,120011782,3696.0
2021-44,120011782,1932.0
2021-45,120011782,2604.0
2021-46,120011782,2772.0
2021-47,120011782,3276.0
2021-48,120011782,2856.0
2021-49,120011782,2016.0
2021-50,120011782,3276.0
2021-51,120011782,1680.0
2021-52,120011782,2436.0
2022-01,120011782,3192.0
2022-02,120011782,2940.0
2022-03,120011782,2688.0
2022-04,120011782,3024.0
2022-05,120011782,2268.0
2022-06,120011782,3360.0
2022-07,120011782,2604.0
2022-08,120011782,2520.0
2022-09,120011782,2436.0
2022-10,120011782,3108.0
2022-11,120011782,2940.0
2022-12,120011782,2772.0
2022-13,120011782,2604.0
2022-14,120011782,2100.0
2022-15,120011782,1764.0
2022-16,120011782,3864.0
2022-17,120011782,3276.0
2022-18,120011782,2436.0
2022-19,120011782,3696.0
2022-20,120011782,3612.0
2022-21,120011782,3192.0
2022-22,120011782,4032.0
2022-23,120011782,3738.0
2022-24,120011782,3444.0
2022-25,120011782,3584.0
2022-26,120011782,3724.0
2022-27,120011782,3864.0
2022-28,120011782,3780.0
2022-29,120011782,3696.0
2022-30,120011782,3612.0
2022-31,120011782,3528.0
2022-32,120011782,3444.0
2022-33,120011782,3192.0
2022-34,120011782,3948.0
2022-35,120011782,3360.0
2022-36,120011782,2772.0
2022-37,120011782,3864.0
2022-38,120011782,3360.0
2022-39,120011782,3528.0
